index	wifi_id	ts	area	dwell_time
3	8319	1483232067	out	197
8	2047	1483232479	out	860
32	8319	1483236237	out	65
48	2047	1483236794	out	67
62	8319	1483237863	out	53
103	8319	1483239563	out	282
121	8319	1483239678	in	103
122	8319	1483239678	1f	103
123	8319	1483239679	1f-c	2
124	8319	1483239681	1f-d	100
125	8319	1483239690	1f-e	78
127	8319	1483239729	2f	27
1867	18589	1483245626	out	1035
1884	18589	1483245669	in	848
1885	18589	1483245669	1f	848
1936	18589	1483245798	b1	499
1937	18589	1483245803	b1_only	366
1947	18589	1483245831	b1-a	48
1967	18589	1483245957	cafe	331
2142	10879	1483246706	out	28
3563	19957	1483251252	out	4669
3587	19957	1483251307	1f	819
3588	19957	1483251307	in	4551
3593	19957	1483251316	1f-d	417
3618	19957	1483251357	1f-c	363
3679	19957	1483251530	b1	4257
3693	19957	1483251565	1f-e	216
3706	19957	1483251626	b1_only	4157
3749	19957	1483251843	2f	158
3750	19957	1483251843	2f-e	131
3759	19957	1483251874	2f-c	54
3762	19957	1483251883	2f-b	17
3774	19957	1483251931	2f-d	28
3796	19957	1483252033	cafe	3746
3799	19957	1483252046	b1-a	3729
3806	19957	1483252089	b1-b	311
3810	19957	1483252109	b1-c	278
4906	7665	1483255280	out	561
4918	7665	1483255322	in	496
4919	7665	1483255322	1f-d	313
4920	7665	1483255322	1f	496
4921	7665	1483255326	1f-c	486
4946	7665	1483255403	1f-e	405
4949	7665	1483255417	b1	359
4964	7665	1483255464	2f	254
4965	7665	1483255466	2f-e	147
4971	7665	1483255473	2f-a	4
4972	7665	1483255479	2f-b	23
4977	7665	1483255482	2f-c	50
4988	7665	1483255523	2f-d	21
5074	19957	1483255808	1f	21
5076	19957	1483255815	1f-e	5
5083	19957	1483255821	1f-d	7
5298	45358	1483256488	out	410
5375	7665	1483256759	out	130
5698	45358	1483257998	out	1058
5700	45358	1483258008	1f	143
5701	45358	1483258008	in	1014
5702	45358	1483258008	1f-c	78
5736	45358	1483258096	1f-d	45
5777	45358	1483258220	2f	169
5835	45358	1483258461	b1	526
5850	45358	1483258524	b1_only	346
5907	45358	1483258795	b1-b	60
6267	10879	1483259856	out	262
6670	10879	1483260990	out	241
6819	89541	1483261519	out	128
6936	20384	1483261917	out	561
6951	20384	1483261951	in	439
7646	89541	1483266460	out	8495
7658	89541	1483266574	in	8382
7659	89541	1483266574	1f	46
7675	89541	1483266677	b1	8046
7676	89541	1483266681	b1_only	125
7677	89541	1483266682	cafe	471
7780	89541	1483268270	cafe	6452
8281	89541	1483273596	b1_only	496
8357	89541	1483274791	1f	164
8659	72801	1483322176	out	285
8969	72801	1483324910	out	50
9069	91188	1483325902	out	326
9092	91188	1483326083	1f	144
9093	91188	1483326083	in	144
9570	71918	1483328238	out	1435
9581	71918	1483328283	1f-d	32
9582	71918	1483328283	in	1345
9583	71918	1483328283	1f	32
9589	71918	1483328292	1f-c	22
9614	71918	1483328413	2f	179
9630	71918	1483328458	2f-d	44
9700	71918	1483328728	b1	682
9713	71918	1483328803	b1_only	607
9722	71918	1483328864	b1-b	491
9822	71918	1483329506	1f	90
10439	83173	1483332073	out	1080
10467	83173	1483332254	in	882
10468	83173	1483332254	1f	109
10469	83173	1483332258	1f-c	104
10471	83173	1483332269	1f-d	90
10516	83173	1483332457	2f	269
10557	83173	1483332585	2f-a	34
10637	83173	1483332776	b1	254
10666	83173	1483332831	b1_only	200
10667	83173	1483332832	b1-b	132
10787	83173	1483333124	1f	11
11336	71918	1483335517	out	638
12980	8379	1483341939	out	42
13911	27118	1483345469	out	118
15438	1122	1483354627	out	2709
15444	1122	1483354670	in	2596
15445	1122	1483354670	1f-c	581
15446	1122	1483354670	1f	2596
15447	1122	1483354672	1f-d	405
15450	1122	1483354691	b1	2551
15466	1122	1483354843	1f-e	391
15483	1122	1483354941	2f	569
15501	1122	1483355162	1f-f	51
15502	1122	1483355173	b1_only	2069
15514	1122	1483355320	2f-a	44
15515	1122	1483355327	2f-b	148
15516	1122	1483355330	2f-c	165
15517	1122	1483355343	2f-d	82
15518	1122	1483355345	2f-e	108
15537	1122	1483355532	cafe	1645
15538	1122	1483355542	b1-a	1625
15539	1122	1483355545	b1-b	1015
15544	1122	1483355577	b1-c	469
15575	1122	1483356145	1f-e	372
15576	1122	1483356177	1f-c	1090
15579	1122	1483356182	1f-d	1083
15862	1478	1483403247	out	3
15876	54586	1483406742	out	217
16764	10592	1483414266	out	24
16806	47591	1483414648	out	74
16975	47591	1483416335	out	2273
16983	47591	1483416379	in	2205
16984	47591	1483416385	1f-e	835
16985	47591	1483416385	1f	2199
16986	47591	1483416386	1f-f	361
17023	47591	1483416844	1f-d	383
17024	47591	1483416856	1f-c	328
17097	47591	1483417284	b1	1107
17113	47591	1483417376	b1_only	1000
17120	47591	1483417401	b1-c	369
17125	47591	1483417439	b1-b	927
17220	47591	1483418225	b1-a	54
17249	47591	1483418434	1f-f	115
17260	47591	1483418481	1f-e	90
17826	99375	1483421729	out	1834
17878	99375	1483421926	in	1559
17879	99375	1483421926	1f-d	83
17880	99375	1483421926	1f	275
17897	99375	1483421972	1f-c	96
17982	99375	1483422344	b1	976
17983	99375	1483422344	b1_only	947
17986	99375	1483422351	b1-b	817
18040	99375	1483422606	cafe	6
18086	99375	1483422834	b1-a	427
18286	27118	1483424166	out	628
18296	27118	1483424213	in	554
18297	27118	1483424213	1f	545
18298	27118	1483424215	1f-c	5
18299	27118	1483424216	1f-d	539
18301	27118	1483424227	1f-e	151
18307	27118	1483424279	2f	445
18309	27118	1483424292	1f-f	111
18326	27118	1483424383	b1	340
18344	27118	1483424539	2f-a	144
18346	27118	1483424555	2f-e	66
18355	27118	1483424635	2f-c	17
18357	27118	1483424644	2f-b	5
18566	8379	1483425846	out	33
18776	8379	1483426846	out	44
19504	2019	1483430981	out	2488
19506	2019	1483431011	in	2434
19507	2019	1483431011	1f	2401
19509	2019	1483431021	1f-d	301
19511	2019	1483431033	1f-c	299
19512	2019	1483431057	b1	2328
19520	2019	1483431092	1f-e	2290
19524	2019	1483431123	2f-b	366
19525	2019	1483431123	2f	420
19534	2019	1483431189	1f-f	198
19558	2019	1483431411	2f-a	120
19559	2019	1483431416	2f-e	96
19560	2019	1483431419	2f-c	74
19561	2019	1483431419	2f-d	74
19562	2019	1483431420	b1-c	559
19563	2019	1483431420	b1_only	640
19572	2019	1483431580	cafe	483
19573	2019	1483431588	b1-a	463
19574	2019	1483431603	b1-b	436
19637	2019	1483432111	1f-c	1281
19640	2019	1483432145	1f-d	1254
19649	2019	1483432211	1f-f	1160
19682	2019	1483432354	2f	1025
19684	27118	1483432357	out	100
19743	2019	1483432591	2f-d	237
19767	2019	1483432801	b1_only	289
19817	2019	1483433002	2f-e	377
19927	10592	1483433814	out	23
20737	2019	1483441899	out	47
21096	68408	1483446616	out	364
21097	68408	1483446616	in	363
21098	68408	1483446616	1f	363
21099	68408	1483446619	1f-d	360
21101	68408	1483446724	b1_only	143
21102	68408	1483446724	b1	144
21173	68408	1483448277	out	10
21586	29836	1483501923	out	801
22627	29836	1483510362	out	98
22897	29836	1483511896	out	119
22902	3391	1483511962	out	419
22907	3391	1483511988	1f	340
22908	3391	1483511988	in	340
22909	3391	1483511989	1f-c	336
22910	3391	1483511990	1f-d	333
22923	3391	1483512017	b1_only	160
22924	3391	1483512017	b1	301
22929	3391	1483512064	cafe	124
22930	3391	1483512070	b1-a	101
22941	3391	1483512118	b1-b	22
22951	3391	1483512172	2f	69
23097	18675	1483513781	out	711
23103	18675	1483513820	1f	220
23104	18675	1483513820	in	230
23105	18675	1483513820	1f-c	215
23108	18675	1483513856	1f-d	182
23115	18675	1483513909	1f-e	117
23637	64623	1483518716	out	2451
23638	64623	1483518721	1f	247
23639	64623	1483518721	in	2306
23648	64623	1483518810	1f-d	107
23696	64623	1483519184	2f	45
23717	64623	1483519337	b1_only	1027
23718	64623	1483519337	b1-a	1015
23719	64623	1483519337	b1	1046
23772	64623	1483519693	b1-b	203
23830	64623	1483520359	cafe	24
23835	64623	1483520498	1f	492
23836	64623	1483520498	1f-f	479
24209	18675	1483526514	out	52
25404	23287	1483592544	out	37
26152	23287	1483598060	out	184
28725	42784	1483670290	out	2259
28729	42784	1483670369	in	1932
28730	42784	1483670369	1f	426
28737	42784	1483670424	1f-c	244
28741	42784	1483670452	1f-d	92
28803	42784	1483671069	b1	407
28806	42784	1483671100	cafe	375
28807	42784	1483671101	b1-a	357
28808	42784	1483671101	b1_only	368
28813	42784	1483671134	b1-b	196
28839	42784	1483671544	2f-a	35
28840	42784	1483671544	2f	551
28864	42784	1483671630	2f-e	11
28933	42784	1483672186	1f	115
29026	42784	1483673353	out	45
31596	18675	1483694958	out	2
31961	54525	1483698884	out	1787
31963	54525	1483698905	in	1221
31965	54525	1483698905	1f	393
31968	54525	1483698939	1f-c	279
31969	54525	1483698945	1f-d	278
31980	54525	1483699115	1f-f	170
31994	54525	1483699356	b1	354
31995	54525	1483699356	cafe	167
31999	54525	1483699421	b1_only	290
32000	54525	1483699444	b1-b	246
32033	54525	1483699804	2f	230
32034	54525	1483699824	2f-a	160
32040	54525	1483699863	2f-d	64
32050	54525	1483699934	2f-e	24
32121	18675	1483701153	out	965
33435	14803	1483759035	out	655
33445	14803	1483759048	1f	610
33446	14803	1483759048	in	610
33447	14803	1483759049	1f-d	599
33448	14803	1483759049	1f-c	587
33452	14803	1483759065	1f-e	443
33455	14803	1483759072	1f-f	433
33460	14803	1483759121	b1	370
33479	14803	1483759395	b1_only	89
33515	14993	1483759588	out	663
33545	14993	1483759896	in	267
33546	14993	1483759896	1f	251
33547	14993	1483759898	1f-c	198
33548	14993	1483759898	1f-d	199
33549	14993	1483759914	1f-e	172
33554	14993	1483759935	1f-f	35
33676	14803	1483761285	out	346
33766	14993	1483761958	out	92
34854	2442	1483769547	out	2
34885	14993	1483769668	out	2408
34898	14993	1483769877	in	1789
34902	14993	1483769891	1f-d	11
34903	14993	1483769891	1f	139
34905	14993	1483769899	1f-e	41
34909	14993	1483769915	b1	1666
34912	14993	1483769930	cafe	464
34916	14993	1483769966	b1_only	1615
34917	14993	1483769971	b1-a	1528
34919	14993	1483769993	b1-b	45
35116	14993	1483771034	b1-c	481
35124	14993	1483771084	b1-b	438
35135	14993	1483771204	cafe	333
35141	14993	1483771297	1f	369
35171	14993	1483771587	1f-d	76
35173	14993	1483771589	1f-c	72
36083	22265	1483777909	1f	757
36084	22265	1483777909	out	761
36085	22265	1483777909	in	757
36159	22265	1483778397	1f-f	262
36287	14993	1483779124	out	132
36405	14993	1483780120	out	162
36410	14993	1483780153	in	8
37147	2047	1483788551	out	1658
37151	2047	1483788602	in	1543
37152	2047	1483788610	1f	1532
37153	2047	1483788610	1f-c	592
37154	2047	1483788611	1f-d	592
37155	2047	1483788612	b1	1496
37164	2047	1483788661	1f-e	540
37180	2047	1483788742	2f	798
37184	2047	1483788753	1f-f	519
37192	2047	1483788822	b1_only	1281
37213	8851	1483789070	out	26
37226	2047	1483789298	cafe	800
37227	2047	1483789301	b1-a	789
37229	2047	1483789314	b1-b	647
37234	2047	1483789338	b1-c	467
37274	2047	1483790128	1f-c	11
37276	2047	1483790132	1f-d	7
37496	8851	1483794298	out	44
39089	9294	1483851743	out	36
39853	9294	1483855581	out	85
40055	91188	1483856570	out	4
40311	88651	1483858539	out	986
40312	88651	1483858539	in	836
40313	88651	1483858539	1f	835
40360	88651	1483858659	2f	191
40361	88651	1483858659	2f-c	60
40388	88651	1483858781	2f-e	67
40413	88651	1483858875	b1	440
40431	88651	1483858950	cafe	364
40432	88651	1483858950	b1_only	242
40446	88651	1483859072	b1-c	60
40450	31421	1483859170	out	297
40457	31421	1483859204	in	246
40467	31421	1483859242	1f	208
40482	31421	1483859325	1f-c	39
40948	31421	1483861983	out	25
41400	9294	1483865303	out	1497
41812	9294	1483867814	out	60
43580	22697	1483935574	out	997
43686	22697	1483936079	in	356
43929	604	1483938031	out	1136
44020	604	1483938705	in	419
44027	604	1483938722	1f	402
44044	604	1483938801	1f-c	309
44045	604	1483938802	1f-d	309
44086	604	1483938956	b1	123
44829	35677	1483942902	out	64
45065	604	1483943853	out	93
45160	37889	1483944425	out	141
45161	37889	1483944441	1f	101
45162	37889	1483944441	1f-d	100
45163	37889	1483944441	in	106
45164	37889	1483944442	1f-c	100
45165	37889	1483944450	1f-e	17
45166	37889	1483944456	1f-f	12
45419	37889	1483945453	out	9
45615	35677	1483946664	out	628
47835	17676	1484021252	out	3346
47836	17676	1484021257	in	3301
47837	17676	1484021257	1f	135
47840	17676	1484021282	1f-d	98
47841	17676	1484021284	1f-c	95
47842	17676	1484021288	b1	3228
47843	17676	1484021290	1f-e	3
47844	17676	1484021293	1f-f	10
47846	17676	1484021306	b1_only	3193
47855	17676	1484021408	cafe	3097
47856	17676	1484021419	b1-a	152
47858	17676	1484021461	b1-b	66
48060	17676	1484023915	b1-a	583
48100	17676	1484024541	1f	17
48103	17676	1484024550	1f-c	7
48105	17676	1484024552	1f-d	3
48375	52605	1484026508	out	15
49225	9294	1484030804	out	182
49579	91188	1484033593	out	435
49580	91188	1484033593	in	430
51404	13140	1484104846	out	2352
51410	13140	1484104869	in	2303
51411	13140	1484104869	1f	127
51429	13140	1484105025	b1	2117
51430	13140	1484105026	b1_only	1716
51434	13140	1484105036	b1-a	1169
51435	13140	1484105044	b1-b	1680
51453	13140	1484105386	b1-c	268
51459	13140	1484105700	cafe	1053
51496	13140	1484106246	1f	925
51499	13140	1484106323	1f-f	606
51539	13140	1484106782	1f-c	373
52042	8214	1484110978	out	523
52061	8214	1484111080	in	333
52070	8214	1484111137	1f-c	265
52071	8214	1484111137	1f	276
52098	8214	1484111221	1f-e	124
52099	8214	1484111233	b1	132
52493	8214	1484116114	out	65
52633	8214	1484117327	out	25
53332	8214	1484126683	out	26
56306	17930	1484216471	out	4218
56314	17930	1484216541	in	4136
56317	17930	1484216544	1f-c	199
56318	17930	1484216544	1f	1531
56320	17930	1484216576	1f-d	175
56330	17930	1484216760	1f-e	31
56333	17930	1484216821	1f-f	188
56349	17930	1484217063	b1	3100
56350	17930	1484217069	b1_only	2400
56354	17930	1484217096	cafe	3067
56362	17930	1484217135	b1-b	797
56366	17930	1484217199	b1-c	599
56453	17930	1484217976	b1-a	188
56531	17930	1484219241	b1-a	206
56534	17930	1484219335	b1-b	93
56539	17930	1484219495	1f	1182
56545	17930	1484219558	2f	775
56546	17930	1484219564	1f-c	1104
56547	17930	1484219567	1f-e	838
56549	17930	1484219579	1f-d	1099
56556	17930	1484219810	2f-e	185
56560	17930	1484219853	2f-d	51
56565	17930	1484219876	2f-c	28
56575	17930	1484219931	2f-a	43
56595	17930	1484220082	1f-f	282
57126	25560	1484273833	out	20
58171	14719	1484286333	out	195
58176	14719	1484286391	in	105
58177	14719	1484286391	1f-d	105
58178	14719	1484286391	1f	105
58183	14719	1484286418	1f-c	74
58184	14719	1484286431	1f-e	54
58187	14719	1484286439	1f-f	36
58427	53895	1484288640	out	2065
58492	53895	1484289028	2f	488
58493	53895	1484289028	2f-c	18
58494	53895	1484289028	in	1676
58576	53895	1484290185	1f	32
58612	53895	1484290454	b1	251
58635	53895	1484290580	cafe	125
58908	53895	1484293266	out	2459
58909	53895	1484293267	in	330
58910	53895	1484293267	b1	330
58912	53895	1484293268	cafe	325
59138	53895	1484294958	1f	300
59140	53895	1484294958	in	300
59148	53895	1484294969	1f-c	287
59745	92831	1484300369	out	308
59750	92831	1484300455	in	216
59751	92831	1484300455	1f	216
59834	6959	1484301395	out	1577
59854	6959	1484301446	in	956
59855	6959	1484301446	1f	956
59857	6959	1484301448	1f-c	183
59858	6959	1484301451	1f-d	104
59885	6959	1484301688	b1	507
59886	6959	1484301691	cafe	449
59887	6959	1484301698	b1_only	442
59890	6959	1484301737	b1-a	395
59915	6959	1484302018	b1-b	91
59933	6959	1484302222	2f-e	118
59934	6959	1484302222	2f	123
59938	6959	1484302241	2f-b	28
59945	6959	1484302374	1f-c	23
59946	6959	1484302376	1f-d	26
61467	34133	1484368575	out	3226
61507	34133	1484368714	in	2495
61508	34133	1484368714	1f	5
61526	34133	1484368869	b1	348
61549	34133	1484369036	b1_only	105
61610	34133	1484369455	1f	146
61630	34133	1484369543	1f-f	27
61680	34133	1484369975	b1	560
61731	34133	1484370193	b1_only	325
61734	34133	1484370211	b1-a	303
61745	34133	1484370227	b1-b	251
61767	34133	1484370331	b1-c	19
61784	34133	1484370428	cafe	107
61811	34133	1484370552	1f	657
61822	34133	1484370603	1f-f	499
61830	34133	1484370636	1f-e	407
61836	34133	1484370656	1f-d	43
62044	2383	1484372115	out	2444
62084	2383	1484372385	in	2141
62085	2383	1484372385	1f	2141
62121	2383	1484372580	1f-e	68
62140	2383	1484372674	b1	1152
62143	2383	1484372680	b1_only	1144
62160	2383	1484372718	b1-a	1107
62174	2383	1484372783	b1-b	775
62183	2383	1484372843	cafe	733
62222	26226	1484373144	out	396
62232	26226	1484373264	b1_only	121
62233	26226	1484373264	in	276
62234	26226	1484373264	b1	121
62241	26226	1484373446	2f-a	33
62242	26226	1484373446	2f	94
62293	2383	1484373773	1f-e	746
62294	2383	1484373777	1f-f	728
62322	2383	1484373936	1f-d	589
62382	2383	1484374388	1f-c	7
62860	29878	1484377300	out	1631
62875	29878	1484377346	1f	1540
62876	29878	1484377346	in	1540
62882	29878	1484377371	1f-d	97
62883	29878	1484377372	1f-c	87
62887	84992	1484377399	out	3338
62889	84992	1484377414	1f	494
62890	84992	1484377414	in	2660
62891	84992	1484377422	1f-d	368
62924	84992	1484377770	1f-c	19
62946	29878	1484377926	2f	10
62974	29878	1484378229	1f-c	91
62975	29878	1484378239	1f-d	588
62981	84992	1484378280	b1_only	1068
62982	84992	1484378280	b1-b	436
62983	84992	1484378280	b1	1151
62990	29878	1484378360	b1	335
62991	29878	1484378365	b1_only	325
62995	29878	1484378378	b1-b	221
63044	84992	1484378678	cafe	753
63045	84992	1484378686	b1-a	639
63215	84992	1484380042	1f	32
63708	29878	1484384368	out	10
64852	29878	1484444303	out	7
66197	2047	1484457314	out	535
66201	2047	1484457366	1f	441
66202	2047	1484457366	in	441
66203	2047	1484457372	1f-d	435
66207	2047	1484457380	1f-e	31
66218	2047	1484457460	b1	299
66229	2047	1484457569	b1_only	178
66230	2047	1484457569	cafe	185
66231	2047	1484457574	b1-a	169
66233	2047	1484457587	b1-b	146
66236	2047	1484457624	b1-c	84
66260	2047	1484457804	1f-c	2
66262	15013	1484457811	out	1559
66272	15013	1484457854	in	1490
66273	15013	1484457854	1f	1490
66275	15013	1484457857	1f-c	66
66276	15013	1484457860	1f-d	51
66277	15013	1484457871	1f-e	220
66299	15013	1484457953	b1	1169
66306	15013	1484457988	1f-f	108
66330	15013	1484458132	2f	759
66333	15013	1484458147	2f-e	698
66334	15013	1484458150	2f-a	741
66340	15013	1484458162	2f-c	598
66343	15013	1484458165	2f-b	578
66344	15013	1484458169	2f-d	638
66429	68233	1484458732	out	858
66442	68233	1484458830	in	740
66443	68233	1484458830	1f	740
66446	68233	1484458850	1f-d	721
66447	68233	1484458853	1f-c	40
66486	15013	1484458967	1f-e	287
66509	15013	1484459026	1f-f	302
66513	68233	1484459049	1f-e	517
66534	68233	1484459120	2f	156
66540	68233	1484459128	2f-e	143
66551	68233	1484459192	2f-c	5
66601	68233	1484459478	1f-f	79
67658	68233	1484468430	out	24
67862	68233	1484469850	out	51
68428	6959	1484474207	out	1482
68430	6959	1484474226	in	1435
68431	6959	1484474226	1f-c	85
68432	6959	1484474226	1f	1435
68436	6959	1484474257	1f-d	98
68439	6959	1484474350	1f-e	10
68461	6959	1484474599	1f-f	1038
68462	6959	1484474600	2f	22
68477	6959	1484474669	b1	408
68479	6959	1484474674	b1_only	370
68480	6959	1484474674	cafe	386
68481	6959	1484474677	b1-b	354
68482	6959	1484474679	b1-a	318
68532	6959	1484475170	1f-d	488
68533	6959	1484475170	1f-c	491
68542	6959	1484475214	1f-e	433
68647	6959	1484476479	out	49
69395	44833	1484535401	out	94
69405	44833	1484535449	1f	21
69406	44833	1484535449	1f-d	20
69407	44833	1484535449	in	21
69408	44833	1484535450	1f-c	21
69796	44833	1484541657	out	662
69801	44833	1484541734	1f	566
69802	44833	1484541734	in	566
69803	44833	1484541738	1f-d	4
69806	44833	1484541751	1f-e	46
69819	44833	1484541930	b1_only	275
69820	44833	1484541930	b1	284
69822	44833	1484541943	b1-b	141
69829	44833	1484542022	b1-c	62
69834	44833	1484542105	b1-a	37
70118	1571	1484545383	out	1300
70122	1571	1484545443	1f-d	1138
70123	1571	1484545443	1f	1138
70124	1571	1484545443	1f-c	1137
70125	1571	1484545443	in	1138
70126	1571	1484545454	b1_only	657
70127	1571	1484545454	b1	721
70141	1571	1484545682	1f-e	886
70144	1571	1484545706	2f	740
70155	1571	1484545870	2f-e	165
70156	1571	1484545883	2f-a	182
70157	1571	1484545908	2f-d	538
70158	1571	1484545931	2f-c	112
70161	1571	1484545945	2f-b	96
71386	25560	1484556655	out	6
71584	1571	1484559078	out	748
72319	25560	1484618212	out	185
73080	21980	1484622246	out	1507
73088	21980	1484622327	in	1393
73089	21980	1484622327	1f	1387
73094	21980	1484622367	b1	1346
73150	21980	1484622688	1f-c	552
73151	21980	1484622692	1f-d	1022
73179	21980	1484623175	1f-f	34
73190	21980	1484623261	b1_only	414
73193	21980	1484623288	cafe	387
73195	21980	1484623293	b1-a	376
73254	23287	1484623782	out	2501
73330	23287	1484624691	in	1542
73331	23287	1484624691	1f	209
73332	23287	1484624695	1f-e	39
73333	23287	1484624700	1f-f	199
73334	23287	1484624751	b1	1272
73335	23287	1484624756	cafe	640
73337	23287	1484624765	b1_only	1258
73338	23287	1484624765	b1-b	624
73339	23287	1484624768	b1-a	452
73348	23287	1484624881	b1-c	40
73371	21980	1484625380	out	212
73378	23287	1484625467	2f	633
73379	23287	1484625487	2f-c	154
73383	23287	1484625536	2f-e	121
73389	23287	1484625707	1f	526
73390	23287	1484625714	1f-d	517
73392	23287	1484625743	1f-c	488
73436	23287	1484626074	1f-e	100
74130	25560	1484630917	out	116
74133	23287	1484630949	out	25
74143	25560	1484631008	1f	4
74144	25560	1484631008	in	4
74683	25560	1484634468	out	58
74811	61432	1484635495	out	1105
74818	61432	1484635534	1f	174
74819	61432	1484635534	in	1059
74827	61432	1484635578	1f-c	34
74829	61432	1484635590	1f-d	28
74844	61432	1484635645	1f-f	23
74908	61432	1484635989	2f	427
74915	61432	1484636023	2f-c	363
74919	61432	1484636030	2f-d	294
74925	61432	1484636055	2f-e	229
74929	4048	1484636108	out	1796
74962	4048	1484636409	in	657
74963	4048	1484636409	1f	657
74964	4048	1484636411	1f-d	656
74965	4048	1484636432	1f-c	630
74971	4048	1484636459	2f	316
74972	61432	1484636468	1f	9
74973	61432	1484636470	1f-f	3
75024	4048	1484636651	2f-c	33
75025	4048	1484636652	2f-e	95
75026	4048	1484636657	2f-a	104
75079	4048	1484636819	b1	151
75424	9177	1484638754	out	555
75829	23408	1484641416	out	346
75833	23408	1484641442	1f	246
75836	23408	1484641442	in	246
75837	23408	1484641445	1f-d	244
75841	23408	1484641453	1f-c	236
75858	23408	1484641546	1f-e	110
75863	23408	1484641556	1f-f	6
75927	9177	1484642599	out	1027
76077	61432	1484644101	out	18
76129	25560	1484644606	out	470
76149	25560	1484644836	in	187
76219	9177	1484646413	out	94
76238	23408	1484646970	out	108
76313	46380	1484648213	out	34
76542	25560	1484651911	out	812
76665	46380	1484653991	out	240
77066	25560	1484706511	out	47
77380	25560	1484709847	out	48
77643	25560	1484711382	out	131
78016	47182	1484714107	out	1917
78017	47182	1484714107	in	1810
78018	47182	1484714107	1f-d	87
78019	47182	1484714107	1f	159
78046	47182	1484714318	2f	149
78069	47182	1484714551	b1	981
78074	47182	1484714568	cafe	14
78075	47182	1484714569	b1-a	939
78076	47182	1484714569	b1_only	939
78084	47182	1484714649	b1-b	744
78111	47182	1484715041	b1-c	47
78175	47182	1484715409	cafe	119
78215	47182	1484715757	1f-f	79
78216	47182	1484715757	1f	160
78234	47182	1484715881	1f-d	37
79011	35677	1484721127	out	98
79858	35677	1484726468	out	98
82032	604	1484799977	out	486
82039	604	1484800008	in	422
82040	604	1484800008	1f	422
82052	604	1484800116	b1_only	45
82053	604	1484800116	b1	60
82070	604	1484800231	1f-e	199
82098	604	1484800313	1f-f	110
82193	54586	1484800889	out	363
82201	54586	1484800920	1f-d	215
82202	54586	1484800920	in	301
82203	54586	1484800920	1f	292
83245	604	1484807811	out	698
83252	25560	1484807855	out	30
84404	26133	1484816167	out	703
84973	26133	1484823622	out	287
85437	25560	1484879036	out	79
85613	65224	1484881201	out	3488
85616	65224	1484881242	in	3425
85618	65224	1484881256	1f	227
85619	65224	1484881256	1f-c	108
85620	65224	1484881269	b1	3151
85631	65224	1484881333	1f-d	21
85692	65224	1484881698	b1_only	1078
85765	65224	1484882159	cafe	2261
85790	65224	1484882272	b1-a	342
85966	65224	1484883502	b1_only	589
86060	60931	1484884244	out	1212
86077	60931	1484884308	in	1139
86078	60931	1484884308	1f	1139
86091	60931	1484884375	1f-f	7
86093	60931	1484884383	b1	402
86112	60931	1484884488	b1_only	297
86113	60931	1484884492	b1-c	225
86115	65224	1484884513	2f	43
86116	65224	1484884513	2f-c	42
86118	60931	1484884531	b1-b	251
86136	60931	1484884595	cafe	178
86243	60931	1484885233	2f	60
86265	60931	1484885387	1f-f	2
86286	604	1484885663	out	1247
86292	604	1484885748	in	338
86293	604	1484885748	1f-c	336
86294	604	1484885748	1f	338
86296	604	1484885756	1f-d	330
86297	604	1484885788	b1	95
86298	604	1484885801	b1_only	68
86299	604	1484885802	b1-a	62
86301	604	1484885844	b1-b	11
86302	604	1484885868	cafe	8
86304	604	1484885958	2f-a	67
86305	604	1484885958	2f	98
86306	604	1484885981	2f-c	26
87484	9294	1484893415	out	745
87488	9294	1484893454	in	399
87489	9294	1484893454	1f-d	395
87490	9294	1484893454	1f	397
87500	9294	1484893497	1f-f	34
87501	95339	1484893503	out	3162
87502	57848	1484893504	out	3382
87507	9294	1484893514	2f	187
87514	57848	1484893534	1f-d	80
87515	57848	1484893534	in	3298
87516	57848	1484893534	1f	242
87527	57848	1484893578	1f-c	193
87553	47214	1484893656	out	2476
87562	9294	1484893684	2f-e	15
87563	47214	1484893685	in	2324
87564	47214	1484893685	1f	2324
87584	9294	1484893777	1f-c	63
87592	57848	1484893816	b1	3017
87593	57848	1484893820	b1_only	225
87602	57848	1484893835	b1-b	66
87606	9294	1484893850	b1	2
87619	47214	1484893897	b1	2113
87620	47214	1484893897	b1_only	1386
87621	47214	1484893897	b1-b	340
87627	95339	1484893904	in	2722
87628	95339	1484893907	1f	60
87638	95339	1484893931	1f-f	21
87653	60931	1484893978	out	12
87663	95339	1484894012	b1	2421
87666	95339	1484894019	b1_only	406
87667	95339	1484894019	cafe	2409
87671	57848	1484894039	cafe	2792
87769	47214	1484894477	1f-f	188
87803	47214	1484894604	2f	177
87869	47214	1484894964	b1-b	286
87870	60931	1484894967	out	245
87904	47214	1484895147	b1-c	4
87927	47214	1484895225	cafe	56
87954	95339	1484895401	b1_only	1025
87955	47214	1484895401	1f-f	156
88099	47214	1484895943	1f-d	66
88100	47214	1484895945	1f-c	64
88165	57848	1484896243	b1_only	589
88168	57848	1484896254	b1-a	578
88212	95339	1484896530	1f	96
88216	95339	1484896559	1f-d	64
88219	57848	1484896597	b1-b	234
88838	47214	1484900338	out	308
89025	57848	1484900971	out	12
89395	52764	1484903509	out	18
89854	90181	1484914078	out	1172
89855	90181	1484914091	1f-d	187
89856	90181	1484914091	in	978
89857	90181	1484914091	1f	412
89873	90181	1484914424	1f-f	7
89877	90181	1484914649	2f	65
